Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Order Value,Customer ID,Country,Delivery Date,Date of return,Days between delivery and return,Payment method,Customer liftime return rate,Catergory Mix,Device signals,Discount in percentage,Account age (in days),Free text return reason,Order Date,Account Created Date,Consecutive prior returns,Abuse probability,is_abuse
C495800,ADJUST,Adjustment by john on 26/01/2010 17,-1,1/26/10 17:27,103.5,103.5,12346,United Kingdom,29-01-10,14-02-10,16,Credit Card,0,Gifts & Household,Desktop,5,217,No longer needed,26-01-10,23-06-09,0,0.2985,1
C514024,M,Manual,-1,6/30/10 11:22,5.18,5.18,12346,United Kingdom,7/7/10,6/8/10,30,Debit Card,0.0294,Gifts & Household,Desktop,0,375,Item did not suit me,3/7/10,23-06-09,0,0.2149,1
C514024,M,Manual,-1,6/30/10 11:22,12.94,12.94,12346,United Kingdom,10/7/10,5/8/10,26,Credit Card,0.0571,Gifts & Household,Desktop,0,375,Changed my mind,3/7/10,23-06-09,1,0.5273,0
C514024,M,Manual,-1,6/30/10 11:22,4.66,4.66,12346,United Kingdom,10/7/10,27-07-10,17,PayPal,0.0833,Gifts & Household,Mobile,0,375,Colour was different from expected,3/7/10,23-06-09,2,0.4068,0
C514024,M,Manual,-1,6/30/10 11:22,12.94,12.94,12346,United Kingdom,6/7/10,22-07-10,16,Credit Card,0.1081,Gifts & Household,Mobile,15,375,Wrong size,3/7/10,23-06-09,3,0.6049,1
C514024,M,Manual,-1,6/30/10 11:22,25.88,25.88,12346,United Kingdom,7/7/10,19-07-10,12,PayPal,0.1316,Gifts & Household,Desktop,0,375,Colour was different from expected,3/7/10,23-06-09,4,0.6374,1
C514024,M,Manual,-3,6/30/10 11:22,12.94,38.82,12346,United Kingdom,4/7/10,21-07-10,17,Debit Card,0.1538,Gifts & Household,Laptop,15,375,Bought the wrong item,3/7/10,23-06-09,5,0.7986,0
C514024,M,Manual,-1,6/30/10 11:22,1.15,1.15,12346,United Kingdom,5/7/10,18-07-10,13,Credit Card,0.175,Gifts & Household,Desktop,15,375,Colour was different from expected,3/7/10,23-06-09,6,0.3362,0
C514024,M,Manual,-4,6/30/10 11:22,13.22,52.88,12346,United Kingdom,6/7/10,23-07-10,17,Debit Card,0.1951,Gifts & Household,Laptop,15,375,Item did not suit me,3/7/10,23-06-09,7,0.7258,1
C514024,M,Manual,-1,6/30/10 11:22,31.78,31.78,12346,United Kingdom,10/7/10,13-07-10,3,PayPal,0.2143,Gifts & Household,Laptop,5,375,Changed my mind,3/7/10,23-06-09,8,0.6593,1
